"","formy recesywne","formy innowacyjne","udział form innowacyjnych"
"1380–1400",9,0,0
"1390–1410",112,0,0
"1400–1420",107,0,0
"1410–1430",0,0,NA
"1420–1440",0,0,NA
"1430–1450",371,101,0.213983050847458
"1440–1460",1361,112,0.0760353021045485
"1450–1470",1916,315,0.141192290452712
"1460–1480",935,304,0.245359160613398
"1470–1490",14,0,0
"1480–1500",11,3,0.214285714285714
"1490–1510",6,3,0.333333333333333
"1500–1520",538,7,0.0128440366972477
"1510–1530",697,28,0.0386206896551724
"1520–1540",544,73,0.118314424635332
"1530–1550",515,69,0.118150684931507
"1540–1560",460,37,0.0744466800804829
"1550–1570",1587,178,0.100849858356941
"1560–1580",2778,412,0.129153605015674
"1570–1590",2074,373,0.152431548835309
"1580–1600",1002,609,0.378026070763501
"1590–1610",832,2182,0.723954877239549
"1600–1620",2917,4840,0.623952558978987
"1610–1630",3024,3961,0.567072297780959
"1620–1640",975,1636,0.626579854461892
"1630–1650",1034,1466,0.5864
"1640–1660",969,811,0.45561797752809
"1650–1670",1110,611,0.355026147588611
"1660–1680",2611,654,0.200306278713629
"1670–1690",5073,2063,0.289097533632287
"1680–1700",4740,2138,0.310846176214016
"1690–1710",1916,391,0.169484178586909
"1700–1720",1721,292,0.145057128663686
"1710–1730",1509,188,0.110783736004714
"1720–1740",655,7,0.0105740181268882
"1730–1750",6227,50,0.00796558865700175
"1740–1760",8456,52,0.00611189468735308
"1750–1770",3232,98,0.0294294294294294
"1760–1780",1324,96,0.0676056338028169
"1770–1790",899,7,0.00772626931567329
"1780–1800",164,1,0.00606060606060606
"1790–1810",125,0,0
"1800–1820",0,0,NA
"1810–1830",57,1,0.0172413793103448
"1820–1840",186,6,0.03125
"1830–1850",288,5,0.0170648464163823
"1840–1860",189,1,0.00526315789473684
"1850–1870",30,1,0.032258064516129
