"","formy recesywne","formy innowacyjne","udział form innowacyjnych"
"1380–1400",0,0,NA
"1390–1410",0,0,NA
"1400–1420",0,0,NA
"1410–1430",0,0,NA
"1420–1440",0,0,NA
"1430–1450",0,0,NA
"1440–1460",1,0,0
"1450–1470",1,0,0
"1460–1480",1,0,0
"1470–1490",1,0,0
"1480–1500",0,0,NA
"1490–1510",0,0,NA
"1500–1520",0,0,NA
"1510–1530",1,0,0
"1520–1540",10,0,0
"1530–1550",11,0,0
"1540–1560",3,0,0
"1550–1570",8,1,0.111111111111111
"1560–1580",40,1,0.024390243902439
"1570–1590",52,1,0.0188679245283019
"1580–1600",44,4,0.0833333333333333
"1590–1610",279,16,0.0542372881355932
"1600–1620",459,16,0.0336842105263158
"1610–1630",391,64,0.140659340659341
"1620–1640",248,109,0.305322128851541
"1630–1650",153,58,0.274881516587678
"1640–1660",146,16,0.0987654320987654
"1650–1670",148,20,0.119047619047619
"1660–1680",263,93,0.26123595505618
"1670–1690",222,169,0.432225063938619
"1680–1700",261,172,0.397228637413395
"1690–1710",209,100,0.323624595469256
"1700–1720",4,22,0.846153846153846
"1710–1730",5,16,0.761904761904762
"1720–1740",42,24,0.363636363636364
"1730–1750",60,315,0.84
"1740–1760",22,432,0.951541850220264
"1750–1770",9,163,0.947674418604651
"1760–1780",10,77,0.885057471264368
"1770–1790",4,98,0.96078431372549
"1780–1800",0,79,1
"1790–1810",0,24,1
"1800–1820",0,0,NA
"1810–1830",0,0,NA
"1820–1840",0,0,NA
"1830–1850",0,0,NA
"1840–1860",0,0,NA
"1850–1870",0,0,NA
