"","formy recesywne","formy innowacyjne","udział form innowacyjnych"
"1380–1400",43,0,0
"1390–1410",73,0,0
"1400–1420",31,0,0
"1410–1430",0,0,NA
"1420–1440",0,0,NA
"1430–1450",4,0,0
"1440–1460",70,0,0
"1450–1470",99,0,0
"1460–1480",62,0,0
"1470–1490",29,0,0
"1480–1500",6,0,0
"1490–1510",6,0,0
"1500–1520",244,1,0.00408163265306122
"1510–1530",282,4,0.013986013986014
"1520–1540",179,5,0.0271739130434783
"1530–1550",226,2,0.0087719298245614
"1540–1560",205,0,0
"1550–1570",508,2,0.00392156862745098
"1560–1580",678,5,0.00732064421669107
"1570–1590",704,5,0.00705218617771509
"1580–1600",664,9,0.0133729569093611
"1590–1610",1688,44,0.0254041570438799
"1600–1620",3308,51,0.0151830902054183
"1610–1630",2298,322,0.122900763358779
"1620–1640",811,390,0.324729392173189
"1630–1650",623,162,0.206369426751592
"1640–1660",445,166,0.271685761047463
"1650–1670",584,543,0.481810115350488
"1660–1680",1451,643,0.307067812798472
"1670–1690",2013,745,0.270123277737491
"1680–1700",1583,1353,0.4608310626703
"1690–1710",733,959,0.566784869976359
"1700–1720",256,747,0.744765702891326
"1710–1730",167,803,0.827835051546392
"1720–1740",96,388,0.801652892561983
"1730–1750",140,1121,0.888977002379064
"1740–1760",249,1598,0.865186789388197
"1750–1770",766,931,0.548615203299941
"1760–1780",576,616,0.516778523489933
"1770–1790",13,399,0.968446601941748
"1780–1800",0,281,1
"1790–1810",0,211,1
"1800–1820",0,0,NA
"1810–1830",0,16,1
"1820–1840",0,177,1
"1830–1850",0,712,1
"1840–1860",0,551,1
"1850–1870",0,0,NA
