"","formy recesywne","formy innowacyjne","udział form innowacyjnych"
"1380–1400",43,0,0
"1390–1410",73,0,0
"1400–1420",31,0,0
"1410–1430",0,0,NA
"1420–1440",0,0,NA
"1430–1450",4,0,0
"1440–1460",69,0,0
"1450–1470",98,0,0
"1460–1480",61,0,0
"1470–1490",28,0,0
"1480–1500",6,0,0
"1490–1510",6,0,0
"1500–1520",243,1,0.00409836065573771
"1510–1530",280,4,0.0140845070422535
"1520–1540",171,5,0.0284090909090909
"1530–1550",218,2,0.00909090909090909
"1540–1560",198,0,0
"1550–1570",500,1,0.00199600798403194
"1560–1580",651,4,0.00610687022900763
"1570–1590",663,4,0.00599700149925037
"1580–1600",631,5,0.00786163522012579
"1590–1610",1899,31,0.0160621761658031
"1600–1620",3290,39,0.0117152297987384
"1610–1630",1904,264,0.121771217712177
"1620–1640",613,292,0.322651933701657
"1630–1650",490,106,0.177852348993289
"1640–1660",267,94,0.260387811634349
"1650–1670",291,34,0.104615384615385
"1660–1680",922,119,0.114313160422671
"1670–1690",820,351,0.299743808710504
"1680–1700",378,275,0.421133231240429
"1690–1710",300,65,0.178082191780822
"1700–1720",5,30,0.857142857142857
"1710–1730",5,18,0.782608695652174
"1720–1740",26,24,0.48
"1730–1750",40,397,0.908466819221968
"1740–1760",18,791,0.977750309023486
"1750–1770",8,458,0.982832618025751
"1760–1780",7,127,0.947761194029851
"1770–1790",2,85,0.977011494252874
"1780–1800",0,38,1
"1790–1810",0,24,1
"1800–1820",0,0,NA
"1810–1830",0,0,NA
"1820–1840",0,0,NA
"1830–1850",0,0,NA
"1840–1860",0,0,NA
"1850–1870",0,0,NA
