"","formy recesywne","formy innowacyjne","udział form innowacyjnych"
"1380–1400",0,0,NA
"1390–1410",0,0,NA
"1400–1420",0,0,NA
"1410–1430",0,0,NA
"1420–1440",0,0,NA
"1430–1450",0,0,NA
"1440–1460",4,3,0.428571428571429
"1450–1470",6,7,0.538461538461538
"1460–1480",7,14,0.666666666666667
"1470–1490",5,40,0.888888888888889
"1480–1500",0,32,1
"1490–1510",0,2,1
"1500–1520",60,15,0.2
"1510–1530",60,19,0.240506329113924
"1520–1540",13,52,0.8
"1530–1550",22,67,0.752808988764045
"1540–1560",18,64,0.780487804878049
"1550–1570",29,215,0.881147540983607
"1560–1580",155,403,0.722222222222222
"1570–1590",150,300,0.666666666666667
"1580–1600",57,242,0.809364548494983
"1590–1610",48,403,0.893569844789357
"1600–1620",37,458,0.925252525252525
"1610–1630",37,355,0.905612244897959
"1620–1640",8,274,0.971631205673759
"1630–1650",6,256,0.977099236641221
"1640–1660",5,119,0.959677419354839
"1650–1670",1,48,0.979591836734694
"1660–1680",0,227,1
"1670–1690",1,334,0.997014925373134
"1680–1700",1,194,0.994871794871795
"1690–1710",0,64,1
"1700–1720",0,14,1
"1710–1730",0,2,1
"1720–1740",0,28,1
"1730–1750",0,37,1
"1740–1760",0,29,1
"1750–1770",0,31,1
"1760–1780",0,32,1
"1770–1790",0,24,1
"1780–1800",0,20,1
"1790–1810",0,16,1
"1800–1820",0,0,NA
"1810–1830",0,0,NA
"1820–1840",0,0,NA
"1830–1850",0,0,NA
"1840–1860",0,0,NA
"1850–1870",0,0,NA
