"","formy recesywne","formy innowacyjne","udział form innowacyjnych"
"1380–1400",1,0,0
"1390–1410",44,0,0
"1400–1420",43,0,0
"1410–1430",0,0,NA
"1420–1440",0,0,NA
"1430–1450",0,0,NA
"1440–1460",106,0,0
"1450–1470",153,0,0
"1460–1480",88,0,0
"1470–1490",59,0,0
"1480–1500",62,1,0.0158730158730159
"1490–1510",45,1,0.0217391304347826
"1500–1520",131,0,0
"1510–1530",151,2,0.0130718954248366
"1520–1540",78,12,0.133333333333333
"1530–1550",124,12,0.0882352941176471
"1540–1560",103,6,0.055045871559633
"1550–1570",151,160,0.514469453376206
"1560–1580",172,202,0.540106951871658
"1570–1590",153,107,0.411538461538462
"1580–1600",111,325,0.745412844036697
"1590–1610",38,531,0.933216168717047
"1600–1620",165,777,0.82484076433121
"1610–1630",195,839,0.811411992263056
"1620–1640",56,816,0.935779816513762
"1630–1650",9,636,0.986046511627907
"1640–1660",19,383,0.95273631840796
"1650–1670",15,698,0.978962131837307
"1660–1680",3,1107,0.997297297297297
"1670–1690",11,1362,0.991988346686089
"1680–1700",13,1233,0.989566613162119
"1690–1710",3,654,0.995433789954338
"1700–1720",1,334,0.997014925373134
"1710–1730",1,261,0.99618320610687
"1720–1740",0,286,1
"1730–1750",0,503,1
"1740–1760",0,786,1
"1750–1770",0,1066,1
"1760–1780",0,635,1
"1770–1790",0,171,1
"1780–1800",0,230,1
"1790–1810",0,130,1
"1800–1820",0,0,NA
"1810–1830",0,61,1
"1820–1840",0,242,1
"1830–1850",0,872,1
"1840–1860",0,819,1
"1850–1870",0,128,1
