"","eng.forms.no.punct_1-grams_c-0.txt","eng.forms.no.punct_2-grams_c-0.txt","eng.pos_2-grams_c-0.txt","eng.pos_3-grams_c-0.txt"
"50",0.064,-0.017,0.202,0.197
"100",0.055,-0.016,0.046,0.116
"150",0.023,-0.004,0.18,0.272
"200",0.14,-0.018,0.211,0.383
"250",0.164,-0.019,0.222,0.397
"300",0.166,-0.019,0.228,0.531
"350",0.173,-0.017,0.242,0.544
"400",0.208,-0.014,0.273,0.545
"450",0.213,-0.009,0.252,0.424
"500",0.203,-0.005,0.274,0.394
"550",0.196,0.01,0.295,0.369
"600",0.164,0.024,0.31,0.41
"650",0.163,0.023,0.334,0.329
"700",0.175,0.027,0.377,0.37
"750",0.156,0.04,0.391,0.385
"800",0.166,0.024,0.428,0.293
"850",0.181,0.02,0.458,0.298
"900",0.194,0.009,0.479,0.312
"950",0.208,0.009,0.512,0.328
"1000",0.198,0.009,0.523,0.325
"1050",0.212,0.015,0.519,0.325
"1100",0.222,0.018,0.513,0.372
"1150",0.253,0.014,0.511,0.373
"1200",0.275,0.017,0.511,0.393
"1250",0.29,0.027,NA,0.394
"1300",0.292,0.038,NA,0.427
"1350",0.311,0.051,NA,0.456
"1400",0.305,0.051,NA,0.415
"1450",0.318,0.044,NA,0.447
"1500",0.337,0.052,NA,0.419
"1550",0.35,0.05,NA,0.409
"1600",0.382,0.053,NA,0.401
"1650",0.411,0.04,NA,0.376
"1700",0.429,0.045,NA,0.374
"1750",0.435,0.044,NA,0.383
"1800",0.417,0.05,NA,0.391
"1850",0.432,0.046,NA,0.397
"1900",0.435,0.039,NA,0.412
"1950",0.463,0.033,NA,0.402
"2000",0.484,0.049,NA,0.415
"2050",0.481,0.038,NA,0.434
"2100",0.487,0.039,NA,0.433
"2150",0.497,0.037,NA,0.441
"2200",0.502,0.024,NA,0.446
"2250",0.502,0.023,NA,0.458
"2300",0.507,0.024,NA,0.473
"2350",0.52,0.018,NA,0.476
"2400",0.522,0.024,NA,0.474
"2450",0.526,0.018,NA,0.475
"2500",0.534,0.027,NA,0.483
"2550",0.537,0.028,NA,0.486
"2600",0.54,0.04,NA,0.491
"2650",0.547,0.045,NA,0.505
"2700",0.552,0.054,NA,0.515
"2750",0.555,0.042,NA,0.521
"2800",0.555,0.05,NA,0.529
"2850",0.552,0.048,NA,0.536
"2900",0.553,0.036,NA,0.535
"2950",0.559,0.039,NA,0.541
"3000",0.554,0.052,NA,0.549
"3050",0.549,0.06,NA,0.553
"3100",0.549,0.062,NA,0.554
"3150",0.554,0.069,NA,0.557
"3200",0.551,0.062,NA,0.559
"3250",0.551,0.074,NA,0.553
"3300",0.552,0.069,NA,0.552
"3350",0.55,0.073,NA,0.56
"3400",0.55,0.068,NA,0.562
"3450",0.548,0.101,NA,0.562
"3500",0.553,0.091,NA,0.558
"3550",0.554,0.078,NA,0.56
"3600",0.555,0.081,NA,0.559
"3650",0.56,0.078,NA,0.565
"3700",0.559,0.089,NA,0.567
"3750",0.559,0.084,NA,0.57
"3800",0.555,0.108,NA,0.576
"3850",0.552,0.099,NA,0.583
"3900",0.553,0.122,NA,0.587
"3950",0.557,0.157,NA,0.588
"4000",0.554,0.196,NA,0.591
"4050",0.556,0.254,NA,0.592
"4100",0.555,0.263,NA,0.597
"4150",0.555,0.267,NA,0.601
"4200",0.555,0.269,NA,0.6
"4250",0.556,0.279,NA,0.605
"4300",0.553,0.316,NA,0.607
"4350",0.547,0.306,NA,0.609
"4400",0.546,0.322,NA,0.608
"4450",0.542,0.281,NA,0.606
"4500",0.538,0.317,NA,0.607
"4550",0.54,0.379,NA,0.609
"4600",0.543,0.357,NA,0.608
"4650",0.544,0.355,NA,0.608
"4700",0.547,0.394,NA,0.607
"4750",0.545,0.396,NA,0.607
"4800",0.546,0.423,NA,0.608
"4850",0.547,0.481,NA,0.608
"4900",0.548,0.443,NA,0.609
"4950",0.547,0.487,NA,0.609
"5000",0.545,0.472,NA,0.607
