"","1770","1775","1780","1785","1790","1795","1800","1805","1810","1815","1820","1825","1830","1835","1840","1845","1850","1855","1860","1865","1870","1875","1880","1885","1890","1895","1900"
"100@0",50.9776357827476,51.6421725239617,53.1884984025559,49.405750798722,49.0543130990415,48.6581469648562,50.0766773162939,50.1022364217252,49.5079872204473,49.5527156549521,50.185303514377,50.7476038338658,52.6805111821086,51.482428115016,52.8977635782748,54.7124600638978,57.4696485623003,55.6837060702875,56.7252396166134,57.7092651757188,57.6645367412141,59.4249201277955,58.0702875399361,60.2779552715655,60.3482428115016,64.2428115015974,64.9105431309904
"200@0",53.2364217252396,53.9808306709265,53.8722044728434,51.8338658146965,51.3099041533546,51.4153354632588,51.3258785942492,50.3258785942492,51.1086261980831,50.3769968051118,51.220447284345,51.4472843450479,52.0862619808307,51.8083067092652,53.1214057507987,55.1150159744409,56.1405750798722,55.9808306709265,57.0415335463259,55.7539936102236,57.220447284345,58.5399361022364,59.7667731629393,61.1533546325879,60.0415335463259,64.5271565495208,65.8434504792332
"300@0",54.9936102236422,53.7284345047923,54.9648562300319,53.8785942492013,52.6230031948882,51.9488817891374,51.3674121405751,50.9201277955272,50.9009584664537,50.6613418530351,51.0575079872204,52.370607028754,53.0191693290735,52.0670926517572,53.5782747603834,55.3354632587859,57.7571884984026,57.1501597444089,56.4984025559105,57.7699680511182,59.4792332268371,59.0127795527157,59.4376996805112,64.2811501597444,62.5239616613419,66.629392971246,70.2939297124601
"400@0",56.1661341853035,56.0894568690096,54.961661341853,52.8562300319489,53.5846645367412,52.5111821086262,52.220447284345,52.4632587859425,52.3162939297125,51.1054313099042,51.591054313099,53.4664536741214,53.5463258785942,52.4121405750799,53.3897763578275,55.4792332268371,57.8370607028754,56.7220447284345,56.7507987220447,58.1054313099042,58.3578274760383,60.779552715655,61.4728434504792,62.9456869009585,63.7188498402556,68.7859424920128,69.7923322683706
"500@0",55.7507987220447,55.5207667731629,56.3578274760383,52.9776357827476,52.8817891373802,52.926517571885,52.9201277955272,52.8977635782748,51.5750798722045,53.1054313099042,51.7603833865815,53.3865814696486,53.3162939297125,53.0670926517572,54.3194888178914,55.702875399361,57.6900958466454,56.6645367412141,57.1980830670927,57.4728434504792,58.8785942492013,60.0127795527157,60.3035143769968,62.8466453674121,61.7316293929712,69.3514376996805,69.9456869009585
"600@0",55.5015974440895,55.5015974440895,55.3130990415335,54.6549520766773,54.5463258785942,52.3003194888179,52.7923322683706,53.0862619808307,52.8019169329073,51.5111821086262,52.5335463258786,53.1309904153355,53.7891373801917,52.8913738019169,53.9744408945687,54.7156549520767,56.5303514376997,56.9904153354633,57.0415335463259,57.8849840255591,59.5718849840256,60.776357827476,60.667731629393,64.4313099041534,62.8817891373802,68.258785942492,70.3897763578275
"700@0",58.1916932907348,57.2683706070288,56.8626198083067,54.2108626198083,54.5143769968051,52.8274760383387,51.8977635782748,52.2683706070288,51.9361022364217,52.0415335463259,51.2555910543131,54.111821086262,53.9456869009585,52.6070287539936,54.3993610223642,55.6006389776358,57.3801916932907,57.4376996805112,57.4153354632588,57.667731629393,59.6869009584665,60.961661341853,60.6421725239617,62.7316293929712,63.4984025559105,69.0702875399361,72.4568690095847
"800@0",56.4345047923323,55.3801916932907,55.5878594249201,53.6549520766773,53.2651757188498,51.7891373801917,51.3130990415335,52.185303514377,51.3897763578275,51.3929712460064,51.702875399361,53.0894568690096,53.2811501597444,53.8274760383387,53.9968051118211,55.9424920127796,57.9680511182109,56.8849840255591,57.594249201278,58,59.7252396166134,61.6261980830671,61.3067092651757,64.1757188498403,65.0031948881789,69.8722044728434,70.2907348242811
"900@0",56.6709265175719,55.1405750798722,55.1022364217252,53.8817891373802,53.2779552715655,52.1597444089457,51.7603833865815,52.0670926517572,52.5814696485623,51.4345047923323,52.3482428115016,54.220447284345,53.9712460063898,53.6038338658147,54.1916932907348,55.8434504792332,58.5463258785942,57.6070287539936,57.2651757188498,57.4185303514377,59.3354632587859,60.9680511182109,59.6166134185303,64.3801916932907,65.6261980830671,69.0127795527157,72.5271565495208
"1000@0",55.4760383386581,55.7444089456869,55.7603833865815,54.2523961661342,53.14696485623,52.9968051118211,52.7859424920128,52.6709265175719,52.2843450479233,51.9361022364217,52.3769968051118,53.4920127795527,53.9776357827476,53.5750798722045,54.3067092651757,55.6613418530351,58.0159744408946,57.5846645367412,56.9552715654952,58.5654952076677,59.1309904153355,59.8722044728434,61.4664536741214,65.6964856230032,64.4568690095847,69.5974440894569,71.8274760383387
