"","tylko.pos_2-grams_c-0.txt","tylko.pos_3-grams_c-0.txt","pelne.tagi_1-grams_c-0.txt","zwykle.slowa_1-grams_c-0.txt"
"50",0.117,0.178,0.057,0.052
"100",0.099,0.313,0.172,0.056
"150",0.074,0.108,0.169,0.1
"200",0.1,0.052,0.153,0.113
"250",0.12,0.105,0.189,0.167
"300",0.11,0.074,0.169,0.197
"350",0.128,0.084,0.152,0.162
"400",0.143,0.091,0.135,0.203
"450",0.144,0.082,0.146,0.233
"500",0.151,0.09,0.155,0.238
"550",0.156,0.1,0.163,0.245
"600",0.16,0.089,0.166,0.262
"650",0.166,0.091,0.171,0.264
"700",0.169,0.083,0.172,0.266
"750",0.172,0.099,0.167,0.286
"800",0.178,0.091,0.166,0.28
"850",0.173,0.091,0.165,0.311
"900",NA,0.084,0.163,0.33
"950",NA,0.09,0.162,0.323
"1000",NA,0.093,0.161,0.298
"1050",NA,0.095,NA,0.339
"1100",NA,0.094,NA,0.399
"1150",NA,0.095,NA,0.378
"1200",NA,0.097,NA,0.406
"1250",NA,0.099,NA,0.422
"1300",NA,0.103,NA,0.438
"1350",NA,0.105,NA,0.444
"1400",NA,0.105,NA,0.461
"1450",NA,0.106,NA,0.469
"1500",NA,0.104,NA,0.483
"1550",NA,0.103,NA,0.505
"1600",NA,0.103,NA,0.543
"1650",NA,0.109,NA,0.529
"1700",NA,0.108,NA,0.553
"1750",NA,0.109,NA,0.552
"1800",NA,0.109,NA,0.567
"1850",NA,0.104,NA,0.58
"1900",NA,0.103,NA,0.575
"1950",NA,0.106,NA,0.579
"2000",NA,0.107,NA,0.592
"2050",NA,0.109,NA,0.566
"2100",NA,0.107,NA,0.58
"2150",NA,0.111,NA,0.591
"2200",NA,0.111,NA,0.603
"2250",NA,0.107,NA,0.607
"2300",NA,0.106,NA,0.598
"2350",NA,0.104,NA,0.6
"2400",NA,0.103,NA,0.606
"2450",NA,0.105,NA,0.606
"2500",NA,0.106,NA,0.611
"2550",NA,0.109,NA,0.606
"2600",NA,0.109,NA,0.601
"2650",NA,0.108,NA,0.596
"2700",NA,0.104,NA,0.604
"2750",NA,0.104,NA,0.603
"2800",NA,0.101,NA,0.598
"2850",NA,0.103,NA,0.593
"2900",NA,0.103,NA,0.585
"2950",NA,0.106,NA,0.571
"3000",NA,0.103,NA,0.582
"3050",NA,0.103,NA,0.576
"3100",NA,0.105,NA,0.587
"3150",NA,0.105,NA,0.591
"3200",NA,0.106,NA,0.587
"3250",NA,0.11,NA,0.582
"3300",NA,0.112,NA,0.587
"3350",NA,0.114,NA,0.588
"3400",NA,0.119,NA,0.588
"3450",NA,0.119,NA,0.584
"3500",NA,0.119,NA,0.584
"3550",NA,0.119,NA,0.587
"3600",NA,0.12,NA,0.583
"3650",NA,0.122,NA,0.582
"3700",NA,0.123,NA,0.582
"3750",NA,0.125,NA,0.58
"3800",NA,0.125,NA,0.582
"3850",NA,0.127,NA,0.581
"3900",NA,0.128,NA,0.585
"3950",NA,0.13,NA,0.59
"4000",NA,0.131,NA,0.591
"4050",NA,0.131,NA,0.593
"4100",NA,0.133,NA,0.597
"4150",NA,0.133,NA,0.599
"4200",NA,0.136,NA,0.6
"4250",NA,0.139,NA,0.597
"4300",NA,0.139,NA,0.6
"4350",NA,0.142,NA,0.602
"4400",NA,0.145,NA,0.602
"4450",NA,0.147,NA,0.603
"4500",NA,0.149,NA,0.602
"4550",NA,0.148,NA,0.6
"4600",NA,0.149,NA,0.598
"4650",NA,0.15,NA,0.596
"4700",NA,0.152,NA,0.592
"4750",NA,0.152,NA,0.59
"4800",NA,0.155,NA,0.592
"4850",NA,0.157,NA,0.586
"4900",NA,0.161,NA,0.586
"4950",NA,0.163,NA,0.586
"5000",NA,0.164,NA,0.585
