"","1900","1905","1910","1915","1920","1925","1930","1935","1940","1945","1950","1955","1960","1965","1970"
"100@0",77.7321428571429,76.5535714285714,75.4285714285714,73.0357142857143,75.9107142857143,76.75,76.8035714285714,74.4285714285714,79.0714285714286,77.8928571428571,70.0357142857143,72.0892857142857,76.5357142857143,72.6785714285714,77.5714285714286
"200@0",75.7678571428571,77.8214285714286,74.625,73.4464285714286,74.3392857142857,76.6785714285714,78.4464285714286,74.6428571428571,78.1964285714286,77.7321428571429,75.0714285714286,75.875,78.9464285714286,76.8928571428571,79.6964285714286
"300@0",79.4821428571429,77.5357142857143,76.4464285714286,73.6607142857143,75.5892857142857,78.625,78.8571428571429,75.0178571428571,78.4464285714286,78.1607142857143,74.3035714285714,76.3571428571429,79.75,78.125,79.875
"400@0",79.9285714285714,79.4821428571429,75.625,75.9821428571429,76.2142857142857,78.0714285714286,77.1785714285714,73.6607142857143,76.8392857142857,76.7321428571429,75.2142857142857,75.7321428571429,79.7678571428571,77.1964285714286,80.2857142857143
"500@0",80.8928571428571,79.1428571428571,74.875,73.7321428571429,75.9464285714286,78.0357142857143,78.6607142857143,75.2142857142857,79.0357142857143,77.7142857142857,75.3392857142857,75.375,80.1071428571429,77.3928571428571,80
"600@0",83.7142857142857,81.5357142857143,78.4107142857143,75.1785714285714,77.3571428571429,79.6607142857143,78.8392857142857,76.8035714285714,81.3928571428571,78.3392857142857,74.5892857142857,76.2142857142857,77.2857142857143,75.75,79.8928571428571
"700@0",81.7142857142857,83.0714285714286,78.8928571428571,74.1964285714286,77.4107142857143,80.2857142857143,78.9107142857143,77.1964285714286,79.8214285714286,78.5357142857143,75.375,75.2857142857143,77.8035714285714,76.4642857142857,80.1607142857143
"800@0",80.5714285714286,78.6428571428571,77.6428571428571,74.2142857142857,77.6607142857143,80.3214285714286,78.5357142857143,77.2857142857143,80.5892857142857,79.3928571428571,76.4642857142857,76.8928571428571,78.1607142857143,76.875,78.2321428571429
"900@0",80.0535714285714,79.6071428571429,76.4642857142857,75.5178571428571,76.5178571428571,79.5,79.4285714285714,77.125,81.75,79.8214285714286,77.75,78.5714285714286,79.0714285714286,75.5714285714286,79.1785714285714
"1000@0",79.0535714285714,75.5,74.125,71.7678571428571,75.4464285714286,78.3928571428571,78.3928571428571,76.4464285714286,80.9821428571429,80.1607142857143,78.8928571428571,79.125,79.1964285714286,77.3392857142857,78.875
