"","1900","1905","1910","1915","1920","1925","1930","1935","1940","1945","1950","1955","1960","1965","1970"
"100@0",69.9821428571429,71.625,70.7857142857143,70.0892857142857,74.8392857142857,76.6071428571429,75.7857142857143,72.6607142857143,72.5714285714286,74.2321428571429,71.1964285714286,76,76,74.7857142857143,74.6071428571429
"200@0",68.4464285714286,70.5892857142857,71.125,71.9642857142857,75.8035714285714,78.8928571428571,77.1607142857143,74.3928571428571,75.3571428571429,77.4821428571429,74.9464285714286,79.3392857142857,79.7142857142857,76.3214285714286,77.6785714285714
"300@0",70.4821428571429,71.0357142857143,71.9285714285714,71.375,77.2678571428571,78.3928571428571,77.4821428571429,76.5714285714286,75.1785714285714,77.7857142857143,75.3928571428571,79.4642857142857,79.8928571428571,78.2678571428571,79.375
"400@0",70.6785714285714,71.9821428571429,73.8214285714286,72.6964285714286,77,79.7678571428571,78.1428571428571,76,76,77.7321428571429,74.0357142857143,79.3392857142857,80.1428571428571,78.1964285714286,78.1785714285714
"500@0",70.5892857142857,72.3392857142857,73.0714285714286,72.6071428571429,77.3928571428571,79.9107142857143,78.0535714285714,76.3928571428571,76.4285714285714,77.5357142857143,75.5357142857143,78.875,80.9464285714286,78.0714285714286,79.3035714285714
"600@0",72.7857142857143,73.875,75.7857142857143,74.0892857142857,77.9285714285714,79.2678571428571,79.8214285714286,77.1071428571429,77.3928571428571,78.8571428571429,76.1071428571429,80.2678571428571,79.5714285714286,77.2678571428571,78.2857142857143
"700@0",72.2678571428571,74.2321428571429,76.0178571428571,74.4107142857143,79.625,79.6607142857143,79.9821428571429,78.8035714285714,76.5714285714286,79.0535714285714,77.2142857142857,79.4285714285714,80.4642857142857,78.6964285714286,78.7857142857143
"800@0",72.6607142857143,73.6607142857143,75.4464285714286,73.6428571428571,79.6785714285714,80.375,80.1607142857143,77.2678571428571,75.7678571428571,79.0535714285714,76.0535714285714,80.4285714285714,79.1607142857143,77.7678571428571,79.5178571428571
"900@0",73.25,73.6428571428571,76,74.9821428571429,79.6428571428571,80.0714285714286,80.0714285714286,78.6428571428571,76.5357142857143,77.9464285714286,74.8928571428571,80.625,80.0535714285714,78.625,78.2321428571429
"1000@0",73.7678571428571,73,76.1071428571429,74.2857142857143,79.2857142857143,81.2321428571429,80.1785714285714,77.7857142857143,78,78.8214285714286,75.75,78.4821428571429,79.8928571428571,76.7857142857143,79.875
