"","X1900","X1905","X1910","X1915","X1920","X1925","X1930","X1935","X1940","X1945","X1950","X1955","X1960","X1965","X1970"
"100@0",78.4464285714286,75.4464285714286,74.5714285714286,74.9642857142857,76.2857142857143,77.0714285714286,76.0178571428571,74.5892857142857,78.1428571428571,77.1785714285714,71.5892857142857,72.2678571428571,74.5714285714286,74.2321428571429,77.8928571428571
"200@0",78.2857142857143,77,74.1071428571429,72.6607142857143,74.2678571428571,76.9642857142857,78.375,75.0892857142857,78.6428571428571,77.0357142857143,74.5357142857143,76.25,78.875,77.4821428571429,79.9464285714286
"300@0",78.75,77.5535714285714,75.8392857142857,74.8392857142857,75.9821428571429,77.5892857142857,79.1071428571429,74.5,80.1607142857143,77.4642857142857,75.9107142857143,75.7857142857143,79.8571428571429,78.7678571428571,80.7857142857143
"400@0",79.9642857142857,80.1428571428571,75.6428571428571,75.5714285714286,75.6071428571429,78.8214285714286,77.1607142857143,75.875,78.875,76.3392857142857,74.8214285714286,76.0892857142857,79.8392857142857,79.0178571428571,80.3571428571429
"500@0",79.8035714285714,80.4107142857143,77.1964285714286,73.2678571428571,75.6607142857143,79.5714285714286,78.625,75.9821428571429,79.6428571428571,78.5,75.5,76.0178571428571,79.6964285714286,77.7321428571429,78.9821428571429
"600@0",82.1785714285714,80.7678571428571,78.9464285714286,74.1428571428571,77.375,79.4642857142857,79,76.2142857142857,79.2142857142857,77.9642857142857,75.0714285714286,76.5892857142857,79.0535714285714,77,81.0535714285714
"700@0",82.4285714285714,81.7678571428571,79.6071428571429,76.4464285714286,78.5178571428571,80.4464285714286,79.3928571428571,78.2321428571429,79.8571428571429,78.6071428571429,75.0892857142857,76.3928571428571,77.8571428571429,76.4107142857143,79.9464285714286
"800@0",80.2321428571429,78.25,76,74.4464285714286,77.2142857142857,78.7857142857143,78.3035714285714,77.2142857142857,80.1607142857143,80,76.2857142857143,75.9642857142857,78.375,77.3571428571429,79.4464285714286
"900@0",80.8928571428571,78.3035714285714,76,73.6071428571429,75.1607142857143,80.3214285714286,79.5357142857143,77.875,80.7321428571429,80.3928571428571,76.7857142857143,78.4464285714286,78.1428571428571,77.9107142857143,79.2857142857143
"1000@0",79.5,75.625,73.4107142857143,71.3214285714286,74.1964285714286,79.375,79.4821428571429,78.0714285714286,82.3392857142857,79.9285714285714,76.9642857142857,78.2321428571429,78.875,78.125,79.1071428571429
