"","mds_1dim","date"
"1750_0_1_1",-122.364777494755,1710
"1750_0_1_10",-79.4004758022354,1726
"1750_0_1_11",-77.426786544845,1731
"1750_0_1_12",-108.81542180562,1738
"1750_0_1_13",-133.18155823638,1744
"1750_0_1_14",-26.8680780722762,1730
"1750_0_1_15",-26.0358606778543,1723
"1750_0_1_16",-144.470993075427,1746
"1750_0_1_17",111.682482172079,1751
"1750_0_1_18",-109.292893777485,1750
"1750_0_1_19",9.78922519250001,1753
"1750_0_1_2",-38.8547525707292,1717
"1750_0_1_20",-85.1348581214668,1763
"1750_0_1_21",-164.068305043054,1765
"1750_0_1_22",-48.4556153079169,1734
"1750_0_1_23",1.07734073320706,1749
"1750_0_1_24",-100.674335646246,1751
"1750_0_1_25",-97.8461869322321,1759
"1750_0_1_26",-57.1390661938963,1726
"1750_0_1_27",-65.8007486504613,1740
"1750_0_1_28",-107.716898494061,1749
"1750_0_1_29",-20.498127851692,1773
"1750_0_1_3",53.4343014441318,1728
"1750_0_1_30",63.9113122570272,1751
"1750_0_1_31",107.574209795305,1779
"1750_0_1_32",-34.1022158765505,1739
"1750_0_1_33",21.2030880757682,1753
"1750_0_1_34",29.1012762188799,1755
"1750_0_1_35",51.1730238681466,1768
"1750_0_1_36",88.0971934881727,1759
"1750_0_1_37",-38.789670998144,1760
"1750_0_1_38",-14.4550673673879,1751
"1750_0_1_39",-4.01496298015964,1762
"1750_0_1_4",-33.4844692134344,1735
"1750_0_1_40",-10.3991523960539,1747
"1750_0_1_41",-174.177998956722,1764
"1750_0_1_42",-82.4346740803991,1766
"1750_0_1_43",-30.9872744949605,1774
"1750_0_1_44",-74.5070000802371,1735
"1750_0_1_45",9.5129981558531,1771
"1750_0_1_46",-152.743576483918,1776
"1750_0_1_47",-159.259354627222,1778
"1750_0_1_48",19.5441600275083,1751
"1750_0_1_49",-68.7598772842253,1753
"1750_0_1_5",40.6124341472523,1732
"1750_0_1_50",6.42426074948646,1771
"1750_0_1_51",40.1633851100579,1766
"1750_0_1_52",-30.6871430553352,1767
"1750_0_1_53",-32.8055833111818,1769
"1750_0_1_54",38.3823655048695,1767
"1750_0_1_55",-48.4577167452503,1756
"1750_0_1_56",-74.2883281231652,1758
"1750_0_1_57",62.4997126755963,1775
"1750_0_1_58",-100.603616357405,1766
"1750_0_1_59",-118.289573332093,1768
"1750_0_1_6",-158.090197842944,1733
"1750_0_1_60",83.9257957363275,1773
"1750_0_1_61",10.5000060181238,1768
"1750_0_1_62",-22.8507521467192,1757
"1750_0_1_63",18.4918035350153,1770
"1750_0_1_64",-50.2150155784427,1775
"1750_0_1_65",-2.90198446900459,1777
"1750_0_1_66",3.0897512150015,1775
"1750_0_1_67",-10.4210834515014,1776
"1750_0_1_68",-165.460007491798,1767
"1750_0_1_69",-138.336614611403,1776
"1750_0_1_7",-103.960734050993,1740
"1750_0_1_70",-3.78844797158364,1779
"1750_0_1_71",-120.415464309108,1779
"1750_0_1_72",-47.4334872374518,1773
"1750_0_1_73",91.5621992354987,1773
"1750_0_1_74",31.8523003627622,1777
"1750_0_1_75",29.6639535149784,1776
"1750_0_1_76",35.3235223266348,1777
"1750_0_1_77",60.816320825872,1779
"1750_0_1_78",46.9283724400482,1775
"1750_0_1_79",57.4715708858974,1764
"1750_0_1_8",46.7637070122816,1741
"1750_0_1_80",19.8991058559839,1745
"1750_0_1_81",63.5386645246886,1774
"1750_0_1_82",100.105503528548,1751
"1750_0_1_83",4.5246007273965,1720
"1750_0_1_84",3.54832147631389,1726
"1750_0_1_85",75.4523348253555,1736
"1750_0_1_86",30.5317871461437,1752
"1750_0_1_87",-30.1858007622164,1762
"1750_0_1_88",117.475213626801,1760
"1750_0_1_9",69.0545061756493,1748
"1820_0_2_100",-145.584451922439,1798
"1820_0_2_101",-71.0833160520307,1783
"1820_0_2_102",116.625121309682,1787
"1820_0_2_103",60.0628348876858,1794
"1820_0_2_104",129.559177608209,1831
"1820_0_2_105",117.240492651516,1783
"1820_0_2_106",40.3061277276413,1798
"1820_0_2_107",155.696979795859,1792
"1820_0_2_108",90.2987998891311,1796
"1820_0_2_109",-25.2452361786524,1798
"1820_0_2_110",-117.314615884284,1780
"1820_0_2_111",-150.903556593993,1783
"1820_0_2_112",-20.1275156801546,1839
"1820_0_2_113",-72.6603412468122,1792
"1820_0_2_114",-92.4030160973814,1822
"1820_0_2_115",50.2632387535016,1794
"1820_0_2_116",60.803785204655,1788
"1820_0_2_117",-114.754825196094,1796
"1820_0_2_118",-16.5918718556466,1821
"1820_0_2_119",-147.65465833097,1824
"1820_0_2_120",78.3362798749659,1847
"1820_0_2_121",-97.4369103076245,1813
"1820_0_2_122",1.96945930323944,1819
"1820_0_2_123",-137.563552533329,1825
"1820_0_2_124",-138.314881627774,1817
"1820_0_2_125",-9.32010989324441,1846
"1820_0_2_126",-82.2045524583188,1820
"1820_0_2_127",68.6405071710632,1813
"1820_0_2_128",51.0689589653301,1829
"1820_0_2_129",-118.726832330986,1796
"1820_0_2_130",-118.792758648374,1798
"1820_0_2_131",54.6398434904919,1800
"1820_0_2_132",-132.257382580107,1808
"1820_0_2_133",63.2892817735864,1811
"1820_0_2_134",-80.6796288791802,1813
"1820_0_2_135",5.7511171421073,1796
"1820_0_2_136",-90.8378559813308,1823
"1820_0_2_137",-114.054212608908,1821
"1820_0_2_138",-115.490380474934,1821
"1820_0_2_139",57.7828543828609,1821
"1820_0_2_140",21.7972109973978,1822
"1820_0_2_141",46.777548531874,1833
"1820_0_2_142",-31.6813371552088,1838
"1820_0_2_143",-63.6306812981621,1846
"1820_0_2_144",-91.9931608156992,1822
"1820_0_2_145",54.2108132619896,1810
"1820_0_2_146",-115.550791006808,1830
"1820_0_2_147",40.4248407184359,1832
"1820_0_2_148",133.581307278503,1819
"1820_0_2_149",140.547154842397,1820
"1820_0_2_150",-97.6874593645878,1823
"1820_0_2_151",-80.9232577986083,1841
"1820_0_2_152",-137.708523673657,1837
"1820_0_2_153",105.065845055355,1840
"1820_0_2_154",-95.6268431362186,1816
"1820_0_2_155",22.5563440548921,1818
"1820_0_2_156",-13.4252858098759,1834
"1820_0_2_157",93.7897992238369,1835
"1820_0_2_158",-11.2381719452704,1848
"1820_0_2_159",13.5826857857235,1845
"1820_0_2_160",-71.623737664798,1844
"1820_0_2_161",-143.754631702073,1832
"1820_0_2_162",-134.279144044231,1834
"1820_0_2_163",-114.342358004799,1838
