"","mds_1dim","date"
"1710_Berkeley",-166.474859368142,1710
"1723_Shaw",-179.781153784856,1723
"1726_Butler",-40.8887977661672,1726
"1735_Berkeley",-173.489153952395,1735
"1739_Hume",-3.88398499642718,1739
"1751_Brown",-160.668114214519,1751
"1751_Hume",-30.0521212583845,1751
"1751_Kames",-2.14127264967206,1751
"1751_Kenrick",-182.909978720638,1751
"1757_Burke",10.6170499631419,1757
"1766_Smith",45.8272200196315,1766
"1769_Reynolds",-0.881382575984473,1769
"1770_Burke",-11.9183940716004,1770
"1775_Burke",-43.4965570807787,1775
"1775_Trusler",-64.6523862173435,1775
"1779_Hume",-43.6406825510739,1779
"1783_Godwin",-47.958632901893,1783
"1786_Hutton",-64.0689802015824,1786
"1788_Malthus",76.0737306142562,1788
"1792_Carey",-159.517484857397,1792
"1792_Wollstonecraft",-10.5353063312053,1792
"1813_Owen",-4.90034051885526,1813
"1821_Foster",10.8427298371835,1821
"1821_Hazlitt",-25.9256601774603,1821
"1830_Babbage",-55.3950713521791,1830
"1831_Godwin",10.6779629617909,1831
"1832_Babbage",85.7404925819135,1832
"1833_Abercrombie",52.9806747044113,1833
"1843_Mill",52.6354155925579,1843
"1844_Chambers",91.3272664602294,1844
"1848_Ellis",8.4644826647733,1848
"1848_Mill",51.0951284966657,1848
"1861_Spencer",85.1950760974769,1861
"1862_Spencer",118.452470911557,1862
"1863_Huxley",-72.6470447254612,1863
"1867_Bagehot",23.8289023885282,1867
"1869_Bagehot",37.3053049925899,1869
"1873_Bagehot",30.489959090003,1873
"1877_Nicholson",-17.1058124042879,1877
"1880_Butler",11.9031016228801,1880
"1883_Galton",79.4964688685569,1883
"1884_Fowler",38.0118729531241,1884
"1886_Pater",-37.9239830420318,1886
"1889_Cassels",-84.9887267846523,1889
"1890_Booth",2.00292210718093,1890
"1892_Galton",68.497997777621,1892
"1894_Huxley",40.1022397497736,1894
"1903_Moore",8.6971728063062,1903
"1903_Wells",82.5591589800438,1903
"1912_Chesterton",72.2664422594813,1912
"1914_Russel",102.249512682373,1914
"1915_Carpenter",1.95581804711777,1915
"1918_Russel",75.9595440132285,1918
"1920_Russel",74.8781509733736,1920
"1920_Whitehead",235.711612287216,1920
