year,increase,dying_out,difference
1380,2,0,2
1390,4,0,4
1449,15,0,15
1450,16,0,16
1455,56,0,56
1460,56,0,56
1465,63,0,63
1475,66,0,66
1490,69,0,69
1510,106,0,106
1521,106,0,106
1524,125,0,125
1532,132,1,131
1533,141,1,140
1534,144,2,142
1535,145,2,143
1536,146,2,144
1540,148,2,146
1542,148,2,146
1544,150,2,148
1545,150,2,148
1557,158,2,156
1558,159,2,157
1561,242,2,240
1562,243,4,239
1563,260,11,249
1564,290,12,278
1565,292,12,280
1567,327,15,312
1568,346,27,319
1569,388,32,356
1570,416,35,381
1571,425,37,388
1572,432,54,378
1573,464,54,410
1578,540,54,486
1583,592,64,528
1584,616,70,546
1585,644,80,564
1586,655,83,572
1587,658,90,568
1588,682,90,592
1590,693,90,603
1592,722,96,626
1593,735,103,632
1594,743,121,622
1595,770,121,649
1597,785,121,664
1600,788,123,665
1601,793,123,670
1603,798,123,675
1605,808,125,683
1606,815,128,687
1607,823,149,674
1608,896,159,737
1609,926,182,744
1610,985,182,803
1611,985,209,776
1612,1042,238,804
1613,1105,270,835
1614,1155,273,882
1615,1158,273,885
1617,1173,287,886
1618,1190,290,900
1619,1193,305,888
1620,1209,309,900
1621,1220,309,911
1622,1220,312,908
1623,1224,318,906
1624,1237,325,912
1625,1243,325,918
1626,1243,327,916
1627,1246,328,918
1628,1249,328,921
1629,1249,331,918
1630,1252,332,920
1631,1253,358,895
1632,1286,363,923
1633,1295,374,921
1634,1309,376,933
1635,1316,441,875
1636,1393,441,952
1638,1403,441,962
1640,1404,445,959
1641,1409,445,964
1643,1411,494,917
1644,1462,498,964
1645,1471,498,973
1646,1471,500,971
1647,1477,500,977
1648,1477,506,971
1649,1482,511,971
1650,1488,513,975
1651,1488,513,975
1652,1501,515,986
1653,1502,520,982
1654,1509,520,989
1655,1509,520,989
1658,1509,525,984
1659,1516,528,988
1660,1519,540,979
1661,1523,540,983
1663,1523,545,978
1664,1528,566,962
1665,1550,578,972
1666,1559,578,981
1669,1568,582,986
1670,1574,582,992
1672,1578,582,996
1673,1578,587,991
