"","formy recesywne","formy innowacyjne","udział form innowacyjnych"
"1380–1400",6,0,0
"1390–1410",6,0,0
"1400–1420",0,0,NA
"1410–1430",0,0,NA
"1420–1440",0,0,NA
"1430–1450",107,1,0.00925925925925926
"1440–1460",121,158,0.566308243727599
"1450–1470",84,173,0.673151750972763
"1460–1480",71,21,0.228260869565217
"1470–1490",7,7,0.5
"1480–1500",10,2,0.166666666666667
"1490–1510",4,0,0
"1500–1520",19,16,0.457142857142857
"1510–1530",38,19,0.333333333333333
"1520–1540",164,77,0.319502074688797
"1530–1550",148,127,0.461818181818182
"1540–1560",34,53,0.609195402298851
"1550–1570",314,184,0.369477911646586
"1560–1580",1080,238,0.180576631259484
"1570–1590",1227,131,0.0964653902798233
"1580–1600",886,150,0.144787644787645
"1590–1610",1964,289,0.128273413226809
"1600–1620",2905,647,0.182150900900901
"1610–1630",2383,650,0.214309264754369
"1620–1640",1663,358,0.177140029688273
"1630–1650",1046,478,0.313648293963255
"1640–1660",750,440,0.369747899159664
"1650–1670",849,468,0.355353075170843
"1660–1680",1631,845,0.341276252019386
"1670–1690",2938,1114,0.27492596248766
"1680–1700",2772,1232,0.307692307692308
"1690–1710",1256,704,0.359183673469388
"1700–1720",634,413,0.394460362941738
"1710–1730",599,363,0.377338877338877
"1720–1740",547,276,0.335358444714459
"1730–1750",698,2464,0.779253636938646
"1740–1760",529,3424,0.866177586643056
"1750–1770",411,1893,0.821614583333333
"1760–1780",382,1325,0.776215582893966
"1770–1790",131,688,0.84004884004884
"1780–1800",17,275,0.941780821917808
"1790–1810",11,197,0.947115384615385
"1800–1820",0,0,NA
"1810–1830",0,52,1
"1820–1840",6,292,0.979865771812081
"1830–1850",11,709,0.984722222222222
"1840–1860",5,629,0.99211356466877
"1850–1870",0,160,1
