"","1400","1450","1500","1550","1600","1650","1700","1750","1800","1850"
"bez",7,162,266,1351,4220,7675,6785,4573,3901,2277
"dla",37,154,465,2673,9584,14908,11841,8886,7729,5539
"do",271,1494,2552,10547,35666,61278,54516,40921,33199,20640
"krom",0,5,28,219,517,811,577,165,3989,13755
"na",973,4903,6765,4786,15865,46456,50864,46199,43824,27340
"nad",150,698,1166,801,1429,3725,4429,5050,4619,2339
"o",565,2030,3103,9876,23720,31678,25856,19376,16139,10805
"od",307,1716,2793,6908,19062,29242,27913,23313,15107,6649
"po",113,1144,1664,4095,13608,22583,20317,14968,10824,6669
"pod",92,295,343,1273,5172,10247,10584,7937,5299,2952
"przed",168,1479,1870,2669,5751,7533,5685,3824,3595,2419
"przez",436,1064,1268,3399,9042,14044,13016,9724,5259,2472
"przy",47,178,317,1480,4771,9550,9592,7152,4930,2358
"u",50,336,600,441,1985,5619,6982,7037,5329,2570
"w",2345,8724,10984,27125,81394,132408,120998,95817,74478,44560
"z",635,4620,7565,19793,67038,114222,100192,73592,54529,30934
