"","1400","1425","1450","1475","1500","1525","1550","1575","1600","1625","1650","1675","1700","1725","1750","1775","1800","1825","1850"
"bez",2,7,143,155,30,111,726,1240,2778,2980,2269,4695,3895,2090,3163,2483,967,1418,1733
"dla",0,37,114,117,64,348,1697,2325,6001,7259,4314,7649,6694,4192,6801,4694,1462,3035,3962
"do",138,208,1235,1286,689,1266,5375,9281,22312,26385,17615,34893,32104,19623,30308,21298,6275,11901,15303
"krom",0,0,3,5,3,23,142,196,307,321,205,490,409,87,123,78,8,3911,8991
"na",601,837,3945,4066,1813,2699,2858,2087,11674,13778,10990,32678,29131,18186,34947,28013,8799,15811,20440
"nad",145,136,459,562,311,604,517,197,1008,1232,1175,2493,2017,1936,3931,3114,986,1505,1746
"o",56,520,1842,1510,1211,1593,4846,8283,14413,15437,9663,16241,14191,9615,15199,9761,2500,6378,8086
"od",275,294,1208,1422,906,1371,4036,5537,11208,13525,8682,15717,13817,12196,19201,11117,2487,3990,4921
"po",35,100,1045,1044,320,620,2364,3475,8442,10133,6076,12450,11834,7867,11338,7101,1946,3723,4926
"pod",26,84,263,211,58,132,736,1141,3123,4031,3152,6216,5726,4368,6022,3569,919,1730,2147
"przed",95,145,1319,1334,354,536,1605,2133,2946,3618,2594,3915,3370,1770,2965,2054,491,1541,1824
"przez",65,399,794,665,513,603,1730,2796,5687,6246,3873,7798,7432,5218,7974,4506,202,753,1561
"przy",1,47,152,131,95,186,780,1294,2823,3477,2875,6073,5515,3519,5189,3633,1201,1297,1621
"u",22,43,250,293,192,307,289,134,1394,1851,1422,3768,3757,3214,5110,3823,1250,1506,1916
"w",1586,2148,6385,6576,2985,4408,15020,22717,49709,58677,38959,73731,66170,47267,72547,48550,15030,25928,32397
"z",301,541,3937,4079,1739,3486,10856,16307,43176,50731,32042,63491,57707,36701,52638,36891,12655,17638,22949
