"","formy recesywne","formy innowacyjne","udział form innowacyjnych"
"1375–1395",13,8,0.380952380952381
"1385–1405",13,8,0.380952380952381
"1395–1415",13,8,0.380952380952381
"1405–1425",13,8,0.380952380952381
"1415–1435",21,9,0.3
"1425–1445",73,1,0.0135135135135135
"1435–1455",86,13,0.131313131313131
"1445–1465",112,13,0.104
"1455–1475",160,14,0.0804597701149425
"1465–1485",193,13,0.0631067961165049
"1475–1495",135,13,0.0878378378378378
"1485–1505",223,1,0.00446428571428571
"1495–1515",211,1,0.00471698113207547
"1505–1525",269,2,0.00738007380073801
"1515–1535",256,6,0.0229007633587786
"1525–1545",270,10,0.0357142857142857
"1535–1555",223,14,0.0590717299578059
"1545–1565",244,27,0.0996309963099631
"1555–1575",146,27,0.15606936416185
"1565–1585",114,23,0.167883211678832
"1575–1595",613,162,0.209032258064516
"1585–1605",1484,394,0.209797657082002
"1595–1615",1859,1111,0.374074074074074
"1605–1625",2142,1286,0.375145857642941
"1615–1635",2763,1472,0.347579693034238
"1625–1645",2432,1549,0.38909821652851
"1635–1655",1625,1990,0.550484094052559
"1645–1665",1371,2145,0.610068259385666
"1655–1675",1506,2567,0.630247974465996
"1665–1685",925,2942,0.760796483061805
"1675–1695",816,3102,0.791730474732006
"1685–1705",713,2858,0.800336040324839
"1695–1715",558,2166,0.795154185022026
"1705–1725",141,1989,0.933802816901408
"1715–1735",123,2854,0.958683238159221
"1725–1745",59,3506,0.983450210378682
"1735–1755",47,4087,0.988630865989357
"1745–1765",47,4418,0.989473684210526
"1755–1775",38,4075,0.990761001701921
"1765–1785",13,3044,0.995747464834805
"1775–1795",4,2012,0.998015873015873
"1785–1805",1,998,0.998998998998999
"1795–1815",0,524,1
"1805–1825",1,717,0.998607242339833
"1815–1835",1,1060,0.999057492931197
"1825–1845",1,1302,0.999232540291635
"1835–1855",1,1302,0.999232540291635
"1845–1865",1,1252,0.999201915403033
"1855–1875",0,980,1
