"","formy recesywne","formy innowacyjne","udział form innowacyjnych"
"1380–1400",3,0,0
"1390–1410",3,0,0
"1400–1420",0,0,NA
"1410–1430",0,0,NA
"1420–1440",0,0,NA
"1430–1450",2,0,0
"1440–1460",2,0,0
"1450–1470",1,0,0
"1460–1480",1,0,0
"1470–1490",2,0,0
"1480–1500",2,0,0
"1490–1510",0,0,NA
"1500–1520",36,0,0
"1510–1530",44,0,0
"1520–1540",65,7,0.0972222222222222
"1530–1550",66,9,0.12
"1540–1560",16,3,0.157894736842105
"1550–1570",104,5,0.0458715596330275
"1560–1580",206,4,0.019047619047619
"1570–1590",221,0,0
"1580–1600",284,0,0
"1590–1610",823,53,0.0605022831050228
"1600–1620",1173,89,0.0705229793977813
"1610–1630",863,171,0.165377176015474
"1620–1640",442,262,0.372159090909091
"1630–1650",159,293,0.648230088495575
"1640–1660",72,296,0.804347826086957
"1650–1670",37,421,0.919213973799127
"1660–1680",176,756,0.811158798283262
"1670–1690",431,1524,0.779539641943734
"1680–1700",289,1574,0.844873859366613
"1690–1710",14,676,0.979710144927536
"1700–1720",21,347,0.942934782608696
"1710–1730",18,289,0.941368078175896
"1720–1740",0,296,1
"1730–1750",2,1090,0.998168498168498
"1740–1760",2,1333,0.998501872659176
"1750–1770",0,909,1
"1760–1780",0,925,1
"1770–1790",0,511,1
"1780–1800",0,216,1
"1790–1810",0,157,1
"1800–1820",0,0,NA
"1810–1830",1,13,0.928571428571429
"1820–1840",1,105,0.990566037735849
"1830–1850",0,198,1
"1840–1860",0,154,1
"1850–1870",0,48,1
