"","formy recesywne","formy innowacyjne","udział form innowacyjnych"
"1380–1400",26,1,0.037037037037037
"1390–1410",136,97,0.416309012875536
"1400–1420",113,97,0.461904761904762
"1410–1430",0,0,NA
"1420–1440",0,0,NA
"1430–1450",31,58,0.651685393258427
"1440–1460",1115,219,0.164167916041979
"1450–1470",1243,336,0.212792906903103
"1460–1480",255,208,0.449244060475162
"1470–1490",204,33,0.139240506329114
"1480–1500",144,48,0.25
"1490–1510",36,49,0.576470588235294
"1500–1520",504,179,0.26207906295754
"1510–1530",615,181,0.227386934673367
"1520–1540",508,140,0.216049382716049
"1530–1550",559,138,0.197991391678623
"1540–1560",268,32,0.106666666666667
"1550–1570",553,823,0.598110465116279
"1560–1580",879,2091,0.704040404040404
"1570–1590",1055,1785,0.628521126760563
"1580–1600",1180,1433,0.548411787217757
"1590–1610",2505,2105,0.456616052060738
"1600–1620",4263,3202,0.428935030140656
"1610–1630",3751,3574,0.487918088737201
"1620–1640",2217,3513,0.613089005235602
"1630–1650",1715,2555,0.598360655737705
"1640–1660",1553,956,0.381028298126744
"1650–1670",2863,1677,0.369383259911894
"1660–1680",4975,2460,0.330867518493611
"1670–1690",4951,2747,0.356845934008833
"1680–1700",3278,3273,0.499618378873454
"1690–1710",1797,1933,0.518230563002681
"1700–1720",1183,901,0.432341650671785
"1710–1730",506,1143,0.693147362037599
"1720–1740",161,1320,0.891289669142471
"1730–1750",648,3147,0.829249011857707
"1740–1760",856,3667,0.810745080698651
"1750–1770",481,3380,0.875420875420875
"1760–1780",237,3334,0.933632035844301
"1770–1790",64,1511,0.959365079365079
"1780–1800",1,944,0.998941798941799
"1790–1810",0,745,1
"1800–1820",0,0,NA
"1810–1830",0,226,1
"1820–1840",3,1003,0.997017892644135
"1830–1850",3,2567,0.998832684824903
"1840–1860",1,2264,0.999558498896247
"1850–1870",1,474,0.997894736842105
